Benchmarks of simstr, version 1.7.2
Sources: https://github.com/orefkov/simstr
Results: https://orefkov.github.io/simstr/results.html
Compiler Clang 22.0.0, use libc++
Run on (32 X 2513.96 MHz CPU s)
Chrome/143.0.0.0 webasm
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
--------------------------------------------------------------------------------------------------------------------------------------------------------
-----  Concatenate email ---------/repeats:1                                                                       0.000 ns        0.000 ns   1000000000000
Concat email std::format_mean                                                                                        994 ns          994 ns            4
Concat email std::format_median                                                                                      996 ns          996 ns            4
Concat email std::format_stddev                                                                                     12.4 ns         12.4 ns            4
Concat email std::format_cv                                                                                         1.25 %          1.25 %             4
Concat email std::stringstream_mean                                                                                 2551 ns         2551 ns            4
Concat email std::stringstream_median                                                                               2584 ns         2584 ns            4
Concat email std::stringstream_stddev                                                                                103 ns          103 ns            4
Concat email std::stringstream_cv                                                                                   4.04 %          4.04 %             4
Concat email stringzilla append_mean                                                                                 591 ns          591 ns            4
Concat email stringzilla append_median                                                                               589 ns          589 ns            4
Concat email stringzilla append_stddev                                                                              25.8 ns         25.8 ns            4
Concat email stringzilla append_cv                                                                                  4.36 %          4.36 %             4
Concat email stringzilla concat_mean                                                                                 222 ns          222 ns            4
Concat email stringzilla concat_median                                                                               222 ns          222 ns            4
Concat email stringzilla concat_stddev                                                                              1.11 ns         1.11 ns            4
Concat email stringzilla concat_cv                                                                                  0.50 %          0.50 %             4
Concat email std::string append_mean                                                                                 643 ns          643 ns            4
Concat email std::string append_median                                                                               645 ns          645 ns            4
Concat email std::string append_stddev                                                                              22.7 ns         22.7 ns            4
Concat email std::string append_cv                                                                                  3.53 %          3.53 %             4
Concat email std::string by strexpr_mean                                                                             164 ns          164 ns            4
Concat email std::string by strexpr_median                                                                           164 ns          164 ns            4
Concat email std::string by strexpr_stddev                                                                          7.39 ns         7.39 ns            4
Concat email std::string by strexpr_cv                                                                              4.50 %          4.50 %             4
Concat email stringa_mean                                                                                            131 ns          131 ns            4
Concat email stringa_median                                                                                          131 ns          131 ns            4
Concat email stringa_stddev                                                                                         10.6 ns         10.6 ns            4
Concat email stringa_cv                                                                                             8.09 %          8.09 %             4
-----  Concatenate string + Number + "Literal" ---------/repeats:1                                                 0.000 ns        0.000 ns   1000000000000
Concat std::string and number by std to std::string_mean                                                            1982 ns         1982 ns            4
Concat std::string and number by std to std::string_median                                                          1962 ns         1962 ns            4
Concat std::string and number by std to std::string_stddev                                                          73.7 ns         73.6 ns            4
Concat std::string and number by std to std::string_cv                                                              3.72 %          3.72 %             4
Concat std::string and number by StrExpr to std::string_mean                                                         980 ns          980 ns            4
Concat std::string and number by StrExpr to std::string_median                                                       978 ns          978 ns            4
Concat std::string and number by StrExpr to std::string_stddev                                                      28.9 ns         28.9 ns            4
Concat std::string and number by StrExpr to std::string_cv                                                          2.95 %          2.95 %             4
Concat stringa and number by StrExpr to simstr::stringa_mean                                                         352 ns          352 ns            4
Concat stringa and number by StrExpr to simstr::stringa_median                                                       352 ns          352 ns            4
Concat stringa and number by StrExpr to simstr::stringa_stddev                                                      2.52 ns         2.52 ns            4
Concat stringa and number by StrExpr to simstr::stringa_cv                                                          0.72 %          0.72 %             4
Concat stringa and number by e_concat to simstr::stringa_mean                                                        377 ns          377 ns            4
Concat stringa and number by e_concat to simstr::stringa_median                                                      378 ns          378 ns            4
Concat stringa and number by e_concat to simstr::stringa_stddev                                                     11.3 ns         11.3 ns            4
Concat stringa and number by e_concat to simstr::stringa_cv                                                         3.01 %          3.01 %             4
-----  Concatenate string + Hex Number + "Literal" ---------/repeats:1                                             0.000 ns        0.000 ns   1000000000000
Concat std::string and format hex number and literal to std::string_mean                                            3864 ns         3864 ns            4
Concat std::string and format hex number and literal to std::string_median                                          3839 ns         3839 ns            4
Concat std::string and format hex number and literal to std::string_stddev                                           123 ns          123 ns            4
Concat std::string and format hex number and literal to std::string_cv                                              3.19 %          3.18 %             4
std::format std::string and hex number by literal to std::string_mean                                               5212 ns         5212 ns            4
std::format std::string and hex number by literal to std::string_median                                             5237 ns         5237 ns            4
std::format std::string and hex number by literal to std::string_stddev                                              152 ns          152 ns            4
std::format std::string and hex number by literal to std::string_cv                                                 2.91 %          2.91 %             4
Concat std::string and std::to_chars and string to std::string_mean                                                 1159 ns         1159 ns            4
Concat std::string and std::to_chars and string to std::string_median                                               1134 ns         1134 ns            4
Concat std::string and std::to_chars and string to std::string_stddev                                               61.1 ns         61.1 ns            4
Concat std::string and std::to_chars and string to std::string_cv                                                   5.27 %          5.27 %             4
Concat std::string and hex number and literal by StrExpr to std::string_mean                                         912 ns          912 ns            4
Concat std::string and hex number and literal by StrExpr to std::string_median                                       916 ns          916 ns            4
Concat std::string and hex number and literal by StrExpr to std::string_stddev                                      21.4 ns         21.3 ns            4
Concat std::string and hex number and literal by StrExpr to std::string_cv                                          2.34 %          2.34 %             4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_mean                                         221 ns          221 ns            4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_median                                       227 ns          227 ns            4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_stddev                                      18.0 ns         18.0 ns            4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_cv                                          8.14 %          8.14 %             4
Concat stringa and hex number and literal by e_concat to simstr::stringa_mean                                        221 ns          221 ns            4
Concat stringa and hex number and literal by e_concat to simstr::stringa_median                                      221 ns          221 ns            4
Concat stringa and hex number and literal by e_concat to simstr::stringa_stddev                                     6.40 ns         6.40 ns            4
Concat stringa and hex number and literal by e_concat to simstr::stringa_cv                                         2.90 %          2.90 %             4
Subst stringa and hex number by e_subst literal to simstr::stringa_mean                                              350 ns          350 ns            4
Subst stringa and hex number by e_subst literal to simstr::stringa_median                                            351 ns          351 ns            4
Subst stringa and hex number by e_subst literal to simstr::stringa_stddev                                           18.4 ns         18.4 ns            4
Subst stringa and hex number by e_subst literal to simstr::stringa_cv                                               5.25 %          5.25 %             4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_mean                                                928 ns          928 ns            4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_median                                              925 ns          925 ns            4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_stddev                                             20.4 ns         20.4 ns            4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_cv                                                 2.20 %          2.20 %             4
---- format/vformat and subst/vsubst octal number to 32 symbols result ----/repeats:1                              0.000 ns        0.000 ns   1000000000000
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_mean                                                              418 ns          418 ns            4
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_median                                                            418 ns          418 ns            4
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_stddev                                                           16.3 ns         16.3 ns            4
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_cv                                                               3.91 %          3.91 %             4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_mean                                                            657 ns          657 ns            4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_median                                                          648 ns          648 ns            4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_stddev                                                         57.5 ns         57.5 ns            4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_cv                                                             8.76 %          8.76 %             4
e_vsubst(pattern, i / 0x8a010_fmt)_mean                                                                             1440 ns         1440 ns            4
e_vsubst(pattern, i / 0x8a010_fmt)_median                                                                           1451 ns         1451 ns            4
e_vsubst(pattern, i / 0x8a010_fmt)_stddev                                                                           30.6 ns         30.6 ns            4
e_vsubst(pattern, i / 0x8a010_fmt)_cv                                                                               2.13 %          2.13 %             4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_mean                                                  2237 ns         2237 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_median                                                2239 ns         2239 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_stddev                                                79.1 ns         79.1 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_cv                                                    3.53 %          3.53 %             4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_mean                                                               2986 ns         2986 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_median                                                             2955 ns         2955 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_stddev                                                              105 ns          105 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_cv                                                                 3.53 %          3.53 %             4
std::format("abcdefghihklmopqr {:#010o} end", i)_mean                                                               3132 ns         3132 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_median                                                             3138 ns         3138 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_stddev                                                             57.3 ns         57.2 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_cv                                                                 1.83 %          1.83 %             4
std::vformat(pattern, std::make_format_args(i))_mean                                                                3119 ns         3119 ns            4
std::vformat(pattern, std::make_format_args(i))_median                                                              3148 ns         3148 ns            4
std::vformat(pattern, std::make_format_args(i))_stddev                                                              76.8 ns         76.8 ns            4
std::vformat(pattern, std::make_format_args(i))_cv                                                                  2.46 %          2.46 %             4
std::format with std::formatted_size_mean                                                                           5329 ns         5329 ns            4
std::format with std::formatted_size_median                                                                         5334 ns         5334 ns            4
std::format with std::formatted_size_stddev                                                                         97.5 ns         97.5 ns            4
std::format with std::formatted_size_cv                                                                             1.83 %          1.83 %             4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_mean                  8569 ns         8569 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_median                8575 ns         8575 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_stddev                 354 ns          354 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_cv                    4.13 %          4.13 %             4
-----  Concatenate string + "Literal" ---------/repeats:1                                                          0.000 ns        0.000 ns   1000000000000
Concat std::string by std to std::string_mean                                                                        116 ns          116 ns            4
Concat std::string by std to std::string_median                                                                      115 ns          115 ns            4
Concat std::string by std to std::string_stddev                                                                     5.03 ns         5.03 ns            4
Concat std::string by std to std::string_cv                                                                         4.35 %          4.35 %             4
