2026-01-30T14:37:24+03:00
Running benchStr.exe
Run on (32 X 2494 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
BuildTypeNameStr 0/0_stddev                                                                                        0.433 ns        0.453 ns           10
BuildTypeNameStr 0/0_cv                                                                                             5.25 %          5.49 %            10
BuildTypeNameExp 0/0_mean                                                                                           7.79 ns         7.74 ns           10
BuildTypeNameExp 0/0_median                                                                                         7.80 ns         7.67 ns           10
BuildTypeNameExp 0/0_stddev                                                                                        0.150 ns        0.205 ns           10
BuildTypeNameExp 0/0_cv                                                                                             1.92 %          2.64 %            10
BuildTypeNameSim 0/0_mean                                                                                           7.83 ns         7.83 ns           10
BuildTypeNameSim 0/0_median                                                                                         7.81 ns         7.81 ns           10
BuildTypeNameSim 0/0_stddev                                                                                        0.235 ns        0.241 ns           10
BuildTypeNameSim 0/0_cv                                                                                             3.00 %          3.08 %            10
BuildTypeNameStr 10/10_mean                                                                                         63.1 ns         62.9 ns           10
BuildTypeNameStr 10/10_median                                                                                       63.2 ns         63.5 ns           10
BuildTypeNameStr 10/10_stddev                                                                                       4.50 ns         4.85 ns           10
BuildTypeNameStr 10/10_cv                                                                                           7.14 %          7.71 %            10
BuildTypeNameExp 10/10_mean                                                                                         35.1 ns         35.1 ns           10
BuildTypeNameExp 10/10_median                                                                                       34.5 ns         34.8 ns           10
BuildTypeNameExp 10/10_stddev                                                                                       2.05 ns         2.24 ns           10
BuildTypeNameExp 10/10_cv                                                                                           5.85 %          6.39 %            10
BuildTypeNameSim 10/10_mean                                                                                         25.7 ns         25.7 ns           10
BuildTypeNameSim 10/10_median                                                                                       25.2 ns         25.2 ns           10
BuildTypeNameSim 10/10_stddev                                                                                       1.43 ns         1.51 ns           10
BuildTypeNameSim 10/10_cv                                                                                           5.57 %          5.87 %            10
-----  Replace string by copy -----/repeats:1                                                                      0.000 ns        0.000 ns   1000000000000
Concat with replace str_mean                                                                                         308 ns          307 ns           10
Concat with replace str_median                                                                                       307 ns          305 ns           10
Concat with replace str_stddev                                                                                      8.89 ns         8.86 ns           10
Concat with replace str_cv                                                                                          2.89 %          2.89 %            10
Concat with replace exp_mean                                                                                         217 ns          216 ns           10
Concat with replace exp_median                                                                                       216 ns          217 ns           10
Concat with replace exp_stddev                                                                                      10.5 ns         11.9 ns           10
Concat with replace exp_cv                                                                                          4.86 %          5.52 %            10
-----  Create Empty Str ---------/repeats:1                                                                        0.000 ns        0.000 ns   1000000000000
std::string e;_mean                                                                                                 1.13 ns         1.12 ns           10
std::string e;_median                                                                                               1.11 ns         1.10 ns           10
