Benchmarks of simstr, version 1.6.4
Sources: https://github.com/orefkov/simstr
Results: https://orefkov.github.io/simstr/results.html

Run on (32 X 2513.96 MHz CPU s)
Firefox: 146.0.1.60 webasm
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
strm << "art 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_mean                                4124 ns         4124 ns            4
strm << "art 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_median                              4096 ns         4096 ns            4
strm << "art 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_stddev                               120 ns          120 ns            4
strm << "art 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_cv                                  2.92 %          2.92 %             4
-----  Concatenate string + "Literal" ---------/repeats:1                                                          0.000 ns        0.000 ns   1000000000000
Concat std::string by std to std::string_mean                                                                        102 ns          102 ns            4
Concat std::string by std to std::string_median                                                                      102 ns          102 ns            4
Concat std::string by std to std::string_stddev                                                                    0.936 ns        0.936 ns            4
Concat std::string by std to std::string_cv                                                                         0.92 %          0.92 %             4
Concat std::string by StrExpr to std::string_mean                                                                    119 ns          119 ns            4
Concat std::string by StrExpr to std::string_median                                                                  118 ns          118 ns            4
Concat std::string by StrExpr to std::string_stddev                                                                 5.22 ns         5.22 ns            4
Concat std::string by StrExpr to std::string_cv                                                                     4.39 %          4.39 %             4
Concat stringa by StrExpr to stringa_mean                                                                           93.6 ns         93.6 ns            4
Concat stringa by StrExpr to stringa_median                                                                         94.6 ns         94.6 ns            4
Concat stringa by StrExpr to stringa_stddev                                                                         2.79 ns         2.79 ns            4
Concat stringa by StrExpr to stringa_cv                                                                             2.98 %          2.98 %             4
-----  Find three concatenated string in string_view -----/repeats:1                                               0.000 ns        0.000 ns   1000000000000
Find concat three std::string_mean                                                                                   157 ns          157 ns            4
Find concat three std::string_median                                                                                 156 ns          156 ns            4
Find concat three std::string_stddev                                                                                7.12 ns         7.12 ns            4
Find concat three std::string_cv                                                                                    4.53 %          4.53 %             4
Find concat three strexpr_mean                                                                                       102 ns          102 ns            4
Find concat three strexpr_median                                                                                     101 ns          101 ns            4
Find concat three strexpr_stddev                                                                                    3.58 ns         3.58 ns            4
Find concat three strexpr_cv                                                                                        3.50 %          3.50 %             4
Find concat three simstr_mean                                                                                       72.5 ns         72.5 ns            4
Find concat three simstr_median                                                                                     72.7 ns         72.7 ns            4
Find concat three simstr_stddev                                                                                     1.58 ns         1.58 ns            4
Find concat three simstr_cv                                                                                         2.18 %          2.18 %             4
-----  Build Type Name ---------/repeats:1                                                                         0.000 ns        0.000 ns   1000000000000
BuildTypeNameStr 0/0_mean                                                                                           17.5 ns         17.5 ns            4
BuildTypeNameStr 0/0_median                                                                                         17.3 ns         17.3 ns            4
BuildTypeNameStr 0/0_stddev                                                                                         1.09 ns         1.09 ns            4
BuildTypeNameStr 0/0_cv                                                                                             6.24 %          6.24 %             4
BuildTypeNameExp 0/0_mean                                                                                           16.4 ns         16.4 ns            4
BuildTypeNameExp 0/0_median                                                                                         16.0 ns         16.0 ns            4
BuildTypeNameExp 0/0_stddev                                                                                         1.13 ns         1.13 ns            4
BuildTypeNameExp 0/0_cv                                                                                             6.89 %          6.89 %             4
BuildTypeNameSim 0/0_mean                                                                                           16.5 ns         16.5 ns            4
BuildTypeNameSim 0/0_median                                                                                         16.6 ns         16.6 ns            4
BuildTypeNameSim 0/0_stddev                                                                                        0.683 ns        0.683 ns            4
BuildTypeNameSim 0/0_cv                                                                                             4.15 %          4.15 %             4
BuildTypeNameStr 10/10_mean                                                                                          283 ns          283 ns            4
BuildTypeNameStr 10/10_median                                                                                        282 ns          282 ns            4
BuildTypeNameStr 10/10_stddev                                                                                       5.99 ns         5.99 ns            4
BuildTypeNameStr 10/10_cv                                                                                           2.12 %          2.12 %             4
