Benchmarks of simstr, version 1.6.7
Sources: https://github.com/orefkov/simstr
Results: https://orefkov.github.io/simstr/results.html

2026-02-12T15:14:20+03:00
Running ./benchStr
Run on (32 X 2494.22 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
Load Average: 0.00, 0.00, 0.00
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_median                                                 881 ns          881 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_stddev                                                5.47 ns         5.47 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_cv                                                    0.62 %          0.62 %             4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_mean                                                                819 ns          819 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_median                                                              825 ns          825 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_stddev                                                             15.0 ns         15.0 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_cv                                                                 1.83 %          1.83 %             4
std::format("abcdefghihklmopqr {:#010o} end", i)_mean                                                                952 ns          952 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_median                                                              959 ns          959 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_stddev                                                             18.8 ns         18.8 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_cv                                                                 1.97 %          1.97 %             4
std::vformat(pattern, std::make_format_args(i))_mean                                                                 957 ns          957 ns            4
std::vformat(pattern, std::make_format_args(i))_median                                                               963 ns          963 ns            4
std::vformat(pattern, std::make_format_args(i))_stddev                                                              34.8 ns         34.8 ns            4
std::vformat(pattern, std::make_format_args(i))_cv                                                                  3.63 %          3.63 %             4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_mean                  2019 ns         2019 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_median                2022 ns         2022 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_stddev                33.4 ns         33.4 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_cv                    1.65 %          1.65 %             4
-----  Concatenate string + "Literal" ---------/repeats:1                                                          0.000 ns        0.000 ns   1000000000000
Concat std::string by std to std::string_mean                                                                       45.1 ns         45.1 ns            4
Concat std::string by std to std::string_median                                                                     45.0 ns         45.0 ns            4
Concat std::string by std to std::string_stddev                                                                    0.744 ns        0.744 ns            4
Concat std::string by std to std::string_cv                                                                         1.65 %          1.65 %             4
Concat std::string by StrExpr to std::string_mean                                                                   34.8 ns         34.8 ns            4
Concat std::string by StrExpr to std::string_median                                                                 35.2 ns         35.2 ns            4
