2026-01-31T15:25:07+03:00
Running benchStr.exe
Run on (32 X 2494 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
Find concat three simstr_cv                                                                                         2.26 %          2.37 %            10
-----  Build Type Name ---------/repeats:1                                                                         0.000 ns        0.000 ns   1000000000000
BuildTypeNameStr 0/0_mean                                                                                           17.3 ns         17.3 ns           10
BuildTypeNameStr 0/0_median                                                                                         17.3 ns         17.3 ns           10
BuildTypeNameStr 0/0_stddev                                                                                        0.403 ns        0.512 ns           10
BuildTypeNameStr 0/0_cv                                                                                             2.33 %          2.96 %            10
BuildTypeNameExp 0/0_mean                                                                                           14.0 ns         14.0 ns           10
BuildTypeNameExp 0/0_median                                                                                         14.0 ns         14.0 ns           10
BuildTypeNameExp 0/0_stddev                                                                                        0.137 ns        0.320 ns           10
BuildTypeNameExp 0/0_cv                                                                                             0.98 %          2.29 %            10
BuildTypeNameSim 0/0_mean                                                                                           15.9 ns         15.8 ns           10
BuildTypeNameSim 0/0_median                                                                                         15.5 ns         15.3 ns           10
BuildTypeNameSim 0/0_stddev                                                                                        0.729 ns        0.857 ns           10
BuildTypeNameSim 0/0_cv                                                                                             4.60 %          5.42 %            10
BuildTypeNameStr 10/10_mean                                                                                         80.2 ns         80.2 ns           10
BuildTypeNameStr 10/10_median                                                                                       80.4 ns         80.2 ns           10
BuildTypeNameStr 10/10_stddev                                                                                       1.29 ns         1.42 ns           10
BuildTypeNameStr 10/10_cv                                                                                           1.61 %          1.77 %            10
BuildTypeNameExp 10/10_mean                                                                                         42.9 ns         42.7 ns           10
BuildTypeNameExp 10/10_median                                                                                       41.6 ns         41.9 ns           10
BuildTypeNameExp 10/10_stddev                                                                                       4.17 ns         3.90 ns           10
BuildTypeNameExp 10/10_cv                                                                                           9.72 %          9.14 %            10
BuildTypeNameSim 10/10_mean                                                                                         36.1 ns         36.1 ns           10
BuildTypeNameSim 10/10_median                                                                                       36.1 ns         36.4 ns           10
BuildTypeNameSim 10/10_stddev                                                                                      0.576 ns        0.683 ns           10
BuildTypeNameSim 10/10_cv                                                                                           1.59 %          1.89 %            10
-----  Replace string by copy -----/repeats:1                                                                      0.000 ns        0.000 ns   1000000000000
Concat with replace str_mean                                                                                         346 ns          345 ns           10
Concat with replace str_median                                                                                       343 ns          344 ns           10
Concat with replace str_stddev                                                                                      7.57 ns         9.42 ns           10
Concat with replace str_cv                                                                                          2.19 %          2.73 %            10
Concat with replace exp_mean                                                                                         225 ns          225 ns           10
Concat with replace exp_median                                                                                       225 ns          225 ns           10
Concat with replace exp_stddev                                                                                      6.50 ns         5.15 ns           10
Concat with replace exp_cv                                                                                          2.89 %          2.29 %            10
-----  Create Empty Str ---------/repeats:1                                                                        0.000 ns        0.000 ns   1000000000000
std::string e;_mean                                                                                                 2.84 ns         2.85 ns           10
std::string e;_median                                                                                               2.84 ns         2.85 ns           10
std::string e;_stddev                                                                                              0.035 ns        0.048 ns           10
std::string e;_cv                                                                                                   1.22 %          1.70 %            10
std::string_view e;_mean                                                                                            1.82 ns         1.82 ns           10
std::string_view e;_median                                                                                          1.82 ns         1.81 ns           10
std::string_view e;_stddev                                                                                         0.024 ns        0.026 ns           10
std::string_view e;_cv                                                                                              1.29 %          1.42 %            10
ssa e;_mean                                                                                                         1.46 ns         1.46 ns           10
ssa e;_median                                                                                                       1.45 ns         1.45 ns           10
ssa e;_stddev                                                                                                      0.054 ns        0.058 ns           10
ssa e;_cv                                                                                                           3.67 %          3.97 %            10
stringa e;_mean                                                                                                     2.19 ns         2.18 ns           10
stringa e;_median                                                                                                   2.19 ns         2.18 ns           10
stringa e;_stddev                                                                                                  0.035 ns        0.033 ns           10
stringa e;_cv                                                                                                       1.57 %          1.53 %            10
lstringa<20> e;_mean                                                                                                2.62 ns         2.61 ns           10
lstringa<20> e;_median                                                                                              2.58 ns         2.57 ns           10
lstringa<20> e;_stddev                                                                                             0.086 ns        0.091 ns           10
lstringa<20> e;_cv                                                                                                  3.28 %          3.50 %            10
lstringa<40> e;_mean                                                                                                2.57 ns         2.56 ns           10
lstringa<40> e;_median                                                                                              2.56 ns         2.57 ns           10
lstringa<40> e;_stddev                                                                                             0.046 ns        0.041 ns           10
lstringa<40> e;_cv                                                                                                  1.80 %          1.61 %            10
-----  Create Str from short literal (9 symbols) --------/repeats:1                                                0.000 ns        0.000 ns   1000000000000
std::string e      = "Test text";_mean                                                                              2.68 ns         2.67 ns           10
std::string e      = "Test text";_median                                                                            2.65 ns         2.67 ns           10
std::string e      = "Test text";_stddev                                                                           0.139 ns        0.136 ns           10
std::string e      = "Test text";_cv                                                                                5.18 %          5.11 %            10
std::string_view e = "Test text";_mean                                                                              1.84 ns         1.84 ns           10
std::string_view e = "Test text";_median                                                                            1.83 ns         1.82 ns           10
std::string_view e = "Test text";_stddev                                                                           0.059 ns        0.056 ns           10
std::string_view e = "Test text";_cv                                                                                3.20 %          3.03 %            10
ssa e              = "Test text";_mean                                                                              1.83 ns         1.83 ns           10
ssa e              = "Test text";_median                                                                            1.83 ns         1.84 ns           10
ssa e              = "Test text";_stddev                                                                           0.031 ns        0.026 ns           10
ssa e              = "Test text";_cv                                                                                1.67 %          1.41 %            10
stringa e          = "Test text";_mean                                                                              2.83 ns         2.82 ns           10
stringa e          = "Test text";_median                                                                            2.82 ns         2.83 ns           10
