2026-01-31T15:51:52+03:00
Running ./benchStr
Run on (32 X 2494.22 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
Load Average: 0.05, 0.01, 0.00
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
Find concat three simstr_mean                                                                                       19.8 ns         19.8 ns           10
Find concat three simstr_median                                                                                     19.8 ns         19.8 ns           10
Find concat three simstr_stddev                                                                                    0.278 ns        0.278 ns           10
Find concat three simstr_cv                                                                                         1.40 %          1.40 %            10
-----  Build Type Name ---------/repeats:1                                                                         0.000 ns        0.000 ns   1000000000000
BuildTypeNameStr 0/0_mean                                                                                           12.1 ns         12.1 ns           10
BuildTypeNameStr 0/0_median                                                                                         11.6 ns         11.6 ns           10
BuildTypeNameStr 0/0_stddev                                                                                         1.43 ns         1.43 ns           10
BuildTypeNameStr 0/0_cv                                                                                            11.83 %         11.83 %            10
BuildTypeNameExp 0/0_mean                                                                                           6.35 ns         6.35 ns           10
BuildTypeNameExp 0/0_median                                                                                         6.34 ns         6.34 ns           10
BuildTypeNameExp 0/0_stddev                                                                                        0.074 ns        0.074 ns           10
BuildTypeNameExp 0/0_cv                                                                                             1.17 %          1.17 %            10
BuildTypeNameSim 0/0_mean                                                                                           5.22 ns         5.22 ns           10
BuildTypeNameSim 0/0_median                                                                                         5.16 ns         5.16 ns           10
BuildTypeNameSim 0/0_stddev                                                                                        0.216 ns        0.216 ns           10
BuildTypeNameSim 0/0_cv                                                                                             4.13 %          4.13 %            10
BuildTypeNameStr 10/10_mean                                                                                         84.2 ns         84.2 ns           10
BuildTypeNameStr 10/10_median                                                                                       84.1 ns         84.1 ns           10
BuildTypeNameStr 10/10_stddev                                                                                       1.04 ns         1.04 ns           10
BuildTypeNameStr 10/10_cv                                                                                           1.24 %          1.24 %            10
BuildTypeNameExp 10/10_mean                                                                                         26.9 ns         26.9 ns           10
BuildTypeNameExp 10/10_median                                                                                       26.8 ns         26.8 ns           10
BuildTypeNameExp 10/10_stddev                                                                                      0.687 ns        0.687 ns           10
